"mGeneSym"	"BC_E_1"	"BC_E_2"	"BC_EP_1"	"BC_EP_2"	"LP_E_1"	"LP_E_2"	"LP_EP_1"	"LP_EP_2"	"LM_E_1"	"LM_E_2"	"LM_EP_1"	"LM_EP_2"
"Elp5"	3977434.641	3698338.678	6584130.69	4217835.479	0	4019540.075	7009330.78	5029688.803	4019515.646	4150193.248	0	0
"Engase"	0	0	0	0	2617836.723	7874950.63	3890614.332	1197481.279	13033838.46	9380358.368	10885785.19	13072553.34
"Enpp1"	69949306.24	69640562.1	87352443.9	62041245.43	2770843.994	1531195.036	5007436.269	1062324.914	0	0	0	0
"Enpp3"	0	0	1228953.3705	688947.4995	54515313.96	119656679.3	57934341.14	59101594.91	0	736572.3577	0	0
"Epcam"	32440000	23331000	67786500	32103000	259470000	508460000	482620000	337550000	285040000	337500000	474360000	449180000
"Epdr1"	29525319.82	48697267.73	20922689.62	14146747.575	0	0	0	0	0	1136399.878	7523728.87	7784027.351
"Ephb3"	2466448.394	2548496.431	1827143.6837	2979011.2223	0	1139107.853	765747.9003	1624756.423	0	412083.9746	0	0
"Ephx1"	246680000	233510000	184910000	193155000	188900000	421650000	419250000	282130000	165500000	160380000	25558000	46877000
"Epn2"	6032589.936	8611522.33	3281700.3	3996651.041	0	0	0	0	13440416.78	14432442.53	9375963.004	6973326.368
"Eps8l1"	529647.683	0	345119.8033	597823.1735	23812639.41	6512512.314	3735214.758	7041399.75	80173868.29	69901446.03	126027575.9	54307980.21
"Erbb2"	0	0	0	0	1754428.458	0	1819645.01	1397027.206	1101435.056	2627548.682	46010275.34	27800953.45
"Esrp2"	709723.5279	0	0	0	2111123.718	0	2046969.387	2076203.368	5598767.1	6445008.13	8038083.694	8830350.786
"Fabp5"	271462179.8	287655326.5	457419192.7	510918793.6	826192188.6	643194459	1755220187	2167233340	9989713.633	4827830.701	14612524.15	16198045.24
"Fads1"	15114229.8	9982665.996	16328393.61	18536493.415	30347226.89	28322549.01	34273406.02	47383928.93	0	0	0	0
"Fads2"	4367873.749	1086811.513	15458346.075	15616024.095	10755705.02	31296205.71	116602180.3	91881642.04	0	0	0	0
"Fam101b"	595583415	768054694.3	381940980.7	354032435.05	0	0	48577366.8	38561736.07	0	0	0	0
"Fam129a"	258185503.2	279974292.6	150422785.35	158333071.85	0	0	0	0	328881.6471	0	1758402.451	332127.8187
"Fam134c"	6559398.856	1564204.2	1356705.086	860109.3125	2549807.336	18293772.7	16700954.21	11119028.19	42004156.93	22560263.25	32176243.02	34495226.96
"Fam173a"	0	0	0	0	358601.9659	0	1210871.68	1145331.905	1081677.038	1311199.073	731101.0973	2625393.23
"Fam210a"	0	0	185212.84465	354580.14795	0	0	0	0	5776489.978	384280.1913	428481.6403	2522308.407
"Fam210b"	0	0	0	0	11223671.88	4586916.495	6362532.554	15653040.8	6916795.709	8803771.714	36427325.87	26729670.01
"Fam63a"	3036275.493	3690061.177	2204743.2235	1691853.25	21717616.76	4509478.936	18657698.84	16086076.03	50497126.21	51860892.86	28645682.69	15829635.56
"Fbxw8"	0	0	727375.559	1181953.3985	0	0	1206821.691	1063559.218	0	0	0	0
"Fhod1"	0	0	0	0	4684611.871	778335.9282	1917819.741	653831.7726	740230.6812	827732.303	3377940.562	3087702.454
"Fkbp10"	46405041.89	40102056.94	94367858.865	97092907.99	353258.4812	1647691.609	245841.8259	226443.4835	0	1118395.788	1571410.482	3972784.253
"Flad1"	0	0	228093.36745	552024.419	3134765.905	3520074.624	4411412.904	2892593.07	8820118.378	6960061.821	12382998.23	10183682.29
"Fmo2"	9779102.118	2238211.878	6746841.87	3646697.368	927318.2254	0	0	0	71565726.65	69778380.1	56279358.76	54472716.25
"Fndc3a"	1283120.917	4212274.097	1113037.3819	1119105.272	824615.0367	2000039.307	98384.73023	181658.7946	3044819.838	5944084.231	7041142.539	5773249.298
"Fndc3b"	2622361.998	4643434.507	6103479.3765	6343568.4705	334638.6732	0	0	0	1865544.147	1105132.016	9095941.753	4246096.315
"Folr1"	0	0	0	0	349186133.8	247446343.8	14033961.52	42684313.78	115415620.1	126165364.2	39248826.55	3639568.179
"Fuca1"	1711228.228	0	0	0	1721684.901	8965200.691	1361771.266	3004914.798	26334757.68	23544334.86	26544704.54	34596065.38
"Gab1"	1835041.972	2254766.879	825906.1185	4498078.9195	19822915.95	4113036.741	4653737.239	7983277.097	0	645230.0926	0	0
"Gabpb2"	0	0	939210.57855	1015121.1245	1997968.955	0	4475087.729	3010469.169	0	0	0	0
"Galnt2"	9514332.868	7184748.989	4702160.0385	4075566.8555	856087.4555	0	1919844.736	2027036.897	0	0	0	0
"Galnt3"	2501277.833	1859394.487	1485780.8235	1544114.03825	19187582.68	19360750.67	10265971.85	16702199.8	23191346.32	21400252.95	25283790.13	16644829.34
"Gata3"	0	0	0	0	31907901.07	14519882.53	6636056.804	22700920.65	10249347.89	10679387.59	20071464.74	11817564.26
"Gca"	0	0	0	0	29391519.93	41486934.02	34835904.48	38860026.38	32963622.47	26345679.98	37624375.78	24241656.65
"Gdpd1"	0	0	0	0	711719.2097	325210.5286	5797409.103	4238910.924	41892956.02	39994146.99	49716053.65	52615691.83
"Ggt1"	298060000	331010000	278835000	292840000	66756000	45879000	12862000	14656000	76785000	125200000	289110000	228670000
"Gins3"	0	0	1870203.08	2424048.6005	0	3067425.554	18178450.15	11774238.27	2252910.521	3651502.767	0	0
"Gins4"	0	0	6004114.118	1952838.50065	0	3310625.761	24291683.39	16665170.66	0	0	0	0
"Gla"	0	1743752.931	431925.5119	1243296.4675	6146890.598	1637348.456	4261038.316	6367880.818	3071478.27	7248583.048	7114013.567	7486004.884
"Gltp"	14604344.27	8451206.615	12122582.66	13020538.0655	0	7878897.36	0	0	54458658.53	33107924.72	14668364.64	16580432.53
"Gmds"	6314500.948	3668150.145	6028402.1475	6621119.7705	105589141.3	75506383.23	28342422.28	35638491.1	40994909.41	24257205.63	68205643.96	67362063.15
"Got1"	114770000	98192000	128400000	136135000	104780000	52183000	28259000	24684000	373920000	426150000	1104500000	778430000
"Gpx8"	7012727.485	10653143.56	10996391.8735	19021281.915	2863825.336	0	3770089.662	5970023.269	0	0	0	0
"Grb7"	0	0	0	0	0	0	5094886.03	3571460.656	5187224.457	2275352.234	2722592.582	4392711.388
"Gstt1"	59945941.84	55587069.89	23461693.185	48708254.65	107886604.3	68878599.19	7055755.653	9194335.727	4343636.504	1159508.924	0	0
"Gstt2"	5156176.423	12331041.67	12122797.409	12169890.375	131247283.8	177725321.9	57379342.66	67080346.22	158779009.5	149101206.5	115864933.3	109399704.6
"H2afy2"	224404222.4	266730291.3	214871632.5	229874612.25	1997121.53	815802.6417	0	0	39053361.43	39219287.45	204677521.3	191593003.1
"H6pd"	322221.4475	0	812664.605	612730.4885	0	0	0	0	0	4483154.948	10379126.85	6479118.257
"Hip1"	1368829.726	4533270.71	3128778.603	4576949.7905	335627.3356	0	110782.1962	158957.8739	763165.8683	696461.9818	1496083.128	1343197.742
"Icam1"	68024406.5	91474905.08	71278957.49	83458950.435	0	0	30112417.43	21365814.4	587676.9368	3268904.477	1845520.173	5566580.452
"Ido1"	5426841.566	3339241.216	1984261.2	4553994.951	58644156.34	37248962.87	0	0	4291411792	3922931504	177461420.8	880189637.9
